Question,Answer,chatGPT_answer,Local_LLAMA_answer,chat_gpt_time,local_llama_time
What happens if I need more than six years to complete the program?,"Any coursework that is older than six years needs to be approved by the Graduate Curriculum Committee (GCC)
and the Institute Graduate Curriculum Committee (IGCC) in order to be applied to your degree. If you will be
exceeding the six-year time frame, please be sure to contact oms-advising@cc.gatech.edu the semester before
Click here to return to Table of Contents
16


you plan to graduate so that you can work with your advisor on obtaining approval to use the older coursework.
Please be sure to send your message from your GT email account and to include your full name and your
nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”.",,"Any coursework that is older than six years needs to be approved by the Graduate Curriculum Committee (GCC) and the Institute Graduate Curriculum Committee (IGCC) in order to be applied to your degree. If you will be exceeding the six-year time frame, please contact oms-advising@cc.gatech.edu the semester before. You need approval for older coursework to apply it towards your degree if you take more than six years to complete the program.",0.0,2.11
Can I count non-CS/CSE courses and/or previously-completed undergraduate-level courses toward my MSCS degree?,"
As per the program rules, a maximum of six hours may be taken at the 4000-level and/or with a subject code
other than CS or CSE. If you have any questions, especially regarding previously-completed undergraduate-level
courses, please contact your advisor by sending a message from your GT email account to
oms-advising@cc.gatech.edu. Please be sure to include your nine-digit gtID number (90XXXXXXX), replacing
the first two digits with “xx”.",,"Yes, I can count non-CS/CSE courses and/or previously-completed undergraduate-level courses towards my MSCS degree. However, I will be responsible for researching whether the course(s) are considered ""equivalent"" to OMSCS courses.",0.0,1.22
What are the rules regarding the Satisfactory Academic Progress policy?,"Please visit https://catalog.gatech.edu/rules/6/ for information regarding the Satisfactory Academic Progress
policy.
Foundational Requirement",,"Students must make satisfactory academic progress to continue enrolling in the OMSCS program. Withdrawing semester after semester without completing a course can put students at risk of being academically dismissed. Refer to the ""Degree Requirements"" section for detailed information on the Satisfactory Academic Progress policy.",0.0,1.44
"My admission letter states: “All incoming students are admitted conditionally. To continue in the program after the first 12 months from your date of matriculation, you must complete the foundational
coursework requirement of 2 courses in the program with a grade of B or better.” Will I be notified when I
am fully admitted into the OMSCS program?","As stated previously, to be able to continue in the program after the first 12 months from your date of
matriculation, you must complete a foundational coursework requirement of two foundational courses with a grade
of “B” or better. The courses that constitute “foundational courses” are designated with an asterisk (*) on this
webpage.
We do not send notifications for students who have completed their foundational requirement. If you would like to
verify that you have completed your foundational requirement, please refer to the link above to determine if the
courses you have completed successfully are considered to be foundational courses.",,"You will not be notified when you are fully admitted into the OMSCS program. Instead, you must complete the foundational coursework requirement within one year of your date of matriculation and maintain a minimum grade of B in two courses with an asterisk (*). If you meet these conditions, you can continue in the program beyond the first 12 months from your matriculation date.",0.0,1.82
Do my foundational courses have to be a part of my intended/declared specialization?,"No — you may choose a foundational course that counts towards any area of your degree, whether a
specialization requirement or a ""free"" elective.",,"No, your foundational courses do not have to be part of your intended/declared specialization. You may choose a foundational course that counts towards any area of your degree.",0.0,0.88
"Can I register for non-foundational courses for a future term if I am on track to finish the foundational requirement by the end of this term (either I am enrolled in two foundational courses, or I am enrolled in
my second foundational course)?","If you are enrolled in two foundational courses or your second foundational course, you would not be eligible to
enroll in any non-foundational courses until you successfully completed the two foundational course(s) with a ""B""
or better.
To clarify, during Phase I registration, you would be restricted to enrolling only in foundational courses. If you
successfully completed the requirement by the end of the current term, the restriction would be lifted shortly after
grades had been posted, and you would have an opportunity to make adjustments to your future schedule during
Phase II.",,"You are eligible to register for non-foundational courses for a future term if you're on track to finish the foundational requirement by the end of this term. You can either enroll in two foundational courses or be enrolled in your second foundational course. Once you've completed the requirement, the restriction will be lifted, and you'll have an opportunity to make adjustments during Phase II registration.",0.0,1.7
What happens if I do not meet my foundational requirement by my designated deadline?,"As of now, students have not been dismissed from the OMSCS program simply for not fulfilling the foundational
requirement. Students will need to continue enrolling in foundational courses until they have satisfied this
requirement. Our office sends an email each semester for students whose foundational requirement deadline has
passed, so please refer to these messages for any updated information regarding this policy.
Course/Program Planning",,"If you do not meet your foundational requirement by your designated deadline, you will be restricted to enrolling only in foundational courses during Phase I registration. The restriction would remain until you successfully complete the requirement, at which point it would be lifted and you could make adjustments to your future schedule during Phase II.",0.0,1.42
Which semesters are OMSCS courses offered?,"OMSCS courses are offered during the spring, summer, and fall semesters. However, the summer offerings are
much more limited due to the condensed time frame of the semester. Students are not required to enroll in each
term consecutively, but please make note of the readmission policy if you plan not to enroll during a specific
Click here to return to Table of Contents
17


semester(s) (please see the “Taking Time Off” section in the FAQs for more information).",,"OMSCS courses are offered during the spring, summer, and fall semesters. However, the summer offerings are much more limited due to the condensed time frame of the semester. The program does not offer ""Early Short Summer"" or ""Late Short Summer"" courses, only ""Full Summer"" courses.",0.0,1.44
"For the summer semester, are OMSCS courses offered as part of the “Early Short Summer” or “Late Short Summer” schedule?","
All OMSCS summer courses are “Full Summer” courses. Our program does not offer any “Early Short Summer”
or “Late Short Summer” courses.",,"OMSCS courses are not offered as part of the ""Early Short Summer"" or ""Late Short Summer"" schedule. All OMSCS summer courses are full summer courses. The program does not offer any courses with those specific schedules.",0.0,1.17
Are there plans to add more courses and/or specializations to the OMSCS program?,"At this time, all of the courses/specializations that will be offered with the OMSCS program are listed on our
website. The advisors unfortunately do not have any additional information other than the information that is
posted on our website.",,"No, there are no additional plans to add more courses and/or specializations to the OMSCS program, as all available options are already listed on the website. The advisors do not have any extra information beyond what is posted online.",0.0,1.19
Can I take on-campus and/or Distance Learning (DL) courses as an OMSCS student?,"Unfortunately, OMSCS students are not eligible to enroll in on-campus or DL courses, as they are considered to
be a different campus and have different tuition rates/fees. Likewise, on-campus or DL students are not eligible to
enroll in OMSCS courses.",,"No, as an OMSCS student, you are not eligible to enroll in on-campus or Distance Learning (DL) courses.",0.0,0.92
Can I enroll in courses offered through the OMS Analytics and/or OMS Cybersecurity programs as an OMSCS student?,"
Sections for OMSCS students have been created for a select number of OMS Analytics and OMS Cybersecurity
courses. If a section of an OMS Analytics or OMS Cybersecurity course has been created for OMSCS students, it
will have a section of “O” followed by a two-digit number (example: O01, O02, O03, etc.). As a reminder, courses
designated with the “OAN” section are reserved for OMS Analytics students, and courses designated with the
“OCY” section are reserved for OMS Cybersecurity students. Therefore, please be sure you are selecting the
correct section if you wish to enroll in the course.
***Please remember that per the program rules:
""A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE.”***
If you have questions about the OMS Analytics program or courses offered through that program, please visit their
website. For the OMS Cybersecurity program and courses offered through that program, please visit their
website for more information.",,"Yes, you can enroll in select OMS Analytics and OMS Cybersecurity courses as an OMSCS student. Look for sections with an ""O"" followed by a two-digit number (e.g., O01, O02) or designated as ""OAN"" or ""OCY"". Be mindful of section restrictions to ensure you're enrolling in a course open to OMSCS students.",0.0,1.85
Are there prerequisites for the OMSCS program and/or courses?,"There are no official/enforced prerequisites for the OMSCS courses beyond those required for admission into the
program, so students can take these courses in essentially any order. There are certain recommendations as to
what material/information you should be familiar with prior to taking a course (available in the course descriptions
online), but there are no official prerequisites for the OMSCS courses.
In general we expect students who enter the program to be very comfortable working with multiple programming
languages such as C, Java, and Python (there is no provision within the program to make up any deficiencies)
and to have taken several more advanced topics, such as Advanced OS, Networking, Theory, and/or Algorithms.
More information about this can be found on our website.
If a student needs to take refresher courses before enrolling in OMSCS courses, it is up to the student to find out
how and where to take these kinds of courses, as OMSCS Advising cannot provide advisement for that. Again,
please refer to our website for more information.",,"There are no official prerequisites for the OMSCS courses beyond those required for admission into the program, and students can take these courses in essentially any order. There are certain recommendations as to what material/information you should be familiar with prior to taking a course, but there are no official prerequisites. Course-specific prerequisite information is available online in the course descriptions.",0.0,1.83
"After reading the course descriptions, it appears I am only prepared to take “X” course(s). What happens if I am not able to enroll in that specific course(s)?","
Since there are no official prerequisites for our courses (beyond those required for admission into the program),
there is an expectation that students should be prepared for essentially most, if not all, of the OMSCS courses.
Therefore, please do not contact OMSCS Advising requesting to be enrolled in a specific course based on your
qualifications, especially since the advisors are unable to add students to courses and/or wait lists.
Click here to return to Table of Contents
18",,"If you're unable to enroll in a specific course, you may be waitlisted or the waitlist may be full. Unfortunately, advisors cannot register students for courses or add them to waitlists, so we cannot guarantee you'll take the desired courses during a specific semester. As a result, it's essential to remain flexible and consider taking courses whenever they become available.",0.0,1.62
Can my advisor help me plan out all of my courses in advance?,"Unfortunately, advisors cannot register students for courses, nor can we add students to wait lists. Therefore, we
cannot guarantee that students will be able to take specific courses during specific semesters, so planning out the
exact ten courses you wish to take (and the semester you wish to take them) most likely is not possible, as
students should plan to be flexible in taking courses whenever they are available.
As a reminder, there are no official/enforced prerequisites for the OMSCS courses (beyond those required for
admission into the program), so students can take these classes in essentially any order. There are certain
recommendations as to what material/information you should be familiar with prior to taking a course, but there
are no official prerequisites for the OMSCS courses. For course-specific prerequisite information, please read the
course descriptions online. Please refer to the FAQ below (#10) for more information on how to plan for future
courses using DegreeWorks.",,"Unfortunately, advisors cannot guarantee that students will be able to take specific courses during specific semesters, so planning out the exact courses you wish to take is unlikely possible. Students should plan to be flexible in taking courses whenever they are available. It's best to continue monitoring the courses and wait lists towards the end of Phase registration.",0.0,1.55
Do I need to take courses in the order they are listed on the specialization webpages?,"No, as mentioned previously, students can take OMSCS courses in essentially any order. Students are not
required to take their specialization courses (or any courses) in a specific order.",,"No, you don't need to take courses in the order they are listed on the specialization webpages. Students can take OMSCS courses in essentially any order and are not required to take their specialization courses (or any courses) in a specific order.",0.0,1.27
How can I check my degree progress and/or plan for future courses?,"To check your degree progress and/or plan for future courses, we encourage you to use DegreeWorks. If you
have declared your specialization, DegreeWorks should tell you what requirements, if any, you are missing. It
also should allow you to plan for future courses using the “what if” feature. If you have not yet declared your
specialization, all of your courses should be listed in the ""Fallthrough Section"", as they will not be allocated until
you declare your specialization. Please note that specializations cannot be declared during active periods of
registration. As a reminder, please be sure to review the degree requirements and the specialization
requirements. Alternatively, you can print a degree worksheet for your specialization and fill it in so that you can
see what requirements, if any, are remaining. You may access the degree worksheets online.",,"You can check your degree progress and/or plan for future courses by using DegreeWorks, which should tell you what requirements you're missing if you've declared your specialization. The ""what if"" feature also allows you to plan for future courses. If you haven't declared your specialization, all of your courses will be listed in the ""Fallthrough Section"".",0.0,1.58
"There have been some curriculum changes (new course numbers, recently-approved specialization courses, etc.), and my DegreeWorks is not listing these courses in the correct areas of my degree audit.
When will this be adjusted?","If changes are made to the curriculum or a new course number is assigned after you have matriculated,
DegreeWorks will not make the necessary adjustments automatically – the OMSCS advisors have to make
exceptions in DegreeWorks manually. This typically is not done until students have petitioned to graduate, though
you are welcome to contact our office at oms-advising@cc.gatech.edu, and we would be happy to make the
change ahead of time, as long as you already successfully completed the course(s). Please note that we will not
be able to make changes to courses that are still in progress, as we need to ensure that the minimum grade is
earned before making the change in DegreeWorks.",,"The OMSCS advisors will make exceptions in DegreeWorks manually when changes are made to the curriculum or a new course number is assigned after matriculation. This typically occurs when students petition to graduate, but it's also possible to contact the office ahead of time if you've already completed the course(s). You can reach out to oms-advising@cc.gatech.edu for assistance.",0.0,1.75
Why are my non-CS/CSE courses not being applied to my degree requirements in DegreeWorks?,"Since these courses are outside of the CS/CSE curriculum, your OMSCS advisor will need to manually apply any
non-CS/CSE coursework to your record in DegreeWorks. This typically is not done until students have petitioned
to graduate, though you are welcome to contact our office at oms-advising@cc.gatech.edu, and we would be
happy to make the change ahead of time, as long as you already successfully completed the course(s). Please
note that we will not be able to make changes to courses that are still in progress, as we need to ensure that the
minimum grade is earned before making the change in DegreeWorks.",,Curriculum changes may be affecting DegreeWorks' ability to accurately list non-CS/CS courses towards degree requirements. Check with the department or faculty for updates on these changes and when they will be reflected in DegreeWorks.,0.0,1.04
When will the course schedules for each term be available?,"The course schedules for each term are released shortly before the Phase I registration period for each term.
Please refer to the academic calendar for term-specific dates.",,"The course schedules for each term will be available shortly before the Phase I registration period for each term, which can be found in the academic calendar.",0.0,0.86
I completed my bachelor’s degree in Computer Science at Georgia Tech. Can I double-count any of my courses toward my OMSCS degree?,"
Students completing both a bachelor’s and master’s in the same discipline (Computer Science) at Georgia Tech
might be able to use up to six credit hours of graduate-level coursework in the major discipline for both degrees.
Click here to return to Table of Contents
19


To qualify for this option, students must complete the undergraduate degree with a cumulative GPA of 3.5 or
higher and complete the master’s degree within a two-year period from the award date of the bachelor’s degree.
Please visit this website for more information. If you feel you qualify for this option, please send a message from
your GT email account to oms-advising@cc.gatech.edu and include your full name and nine-digit gtID number.
Your advisor will be able to assist you and confirm your eligibility.",,"Based on the context provided, students who have earned another master's degree at Georgia Tech might be eligible to double-count up to six hours of previously-earned credit toward their OMSCS degree.",0.0,1.17
I earned another master’s degree at Georgia Tech prior to matriculating in the OMSCS program. Can I double-count any of my courses toward my OMSCS degree?,"
Students who have earned another master’s degree at Georgia Tech might be eligible to double-count up to six
hours of previously-earned credit toward their OMSCS degree. Please visit this website for more information
regarding this policy. If you feel you qualify for this, please send a message from your GT email account to
oms-advising@cc.gatech.edu and include your full name and nine-digit gtID number. Your advisor will be able to
assist you and confirm your eligibility.",,You can double-count up to six hours of previously-earned credit toward your OMSCS degree if you have earned another master's degree at Georgia Tech prior to matriculating in the program.,0.0,1.02
I took courses and/or earned another degree (undergraduate and/or graduate) from Georgia Tech – are there restrictions as to which OMSCS courses I can enroll in and count toward my OMSCS degree?,"
If you previously completed courses at Georgia Tech, specifically undergraduate and/or graduate Computer
Science (CS) or other CS-related undergraduate and/or graduate courses, you will be responsible for researching
whether the course(s) are considered to be “equivalent” to OMSCS courses, as these credits typically cannot
count toward your OMSCS degree if they were used toward another earned degree. Please refer to this website
for more information. Additionally, we have provided you with some of the equivalencies (please see the table
below), but we strongly recommend that you contact OMSCS Advising, as things can change and/or be updated
at any time.
OMSCS Course
Georgia Tech Equivalent Course
CS 6035
CS 4235*
*If you took CS 4235 prior to Spring 2011, you will be allowed to earn credit for both courses.
If you took CS 4235 after Spring 2011, you will not be able to enroll in CS6035 CS 6150 N/A
CS 6200
(formerly CS 8803-O02)
N/A
CS 6210
CS 6420 and CS 4210
CS 6211
(formerly CS 8803-O0A & O0B)
N/A
CS 6238
N/A
CS 6250
CS 4251 (if taken Fall 2018 or later) and CS 6380
CS 6260
ECE 6280
CS 6262
N/A
CS 6263
(formerly CS 8803-O07)
ECE 8813 Cyber-Physical Systems Security
CS 6264
(formerly CS 8803-O11)
N/A
CS 6265
N/A
CS 6290
ECE 4100, ECE 6100, and CS 4290
Click here to return to Table of Contents
20


CS 6291
(formerly CS 8803-O04)
N/A
CS 6300
CS 6144 and CS 8803 Advanced Software Engineering
CS 6310
N/A
CS 6340
N/A
CS 6400
CS 6450
CS 6440
N/A
CS 6457
CS 4455
CS 6460
CS 6397 and CS 4660
CS 6475
CS 4475
CS 6476
CS 4476 and CS 4495
CS 6505
(replaced by CS 6515)
CS 6500 and CS 4540
CS 6515
(formerly CS 8803 GA)
CS 4540, CSE 6140, and CS 6505
CS 6601
N/A
CS 6603
(formerly CS 8803-O10)
CS 4803 Big Data and Society – Misuse, Abuse, and Algorithms & CS 8803
AIS
CS 6675
CS 4675
CS 6747
ECE 4147 and ECE 6747
CS 6750
PSYC 6750
CS 6795
ISYE 6795 and PSYC 6795
CS 7210
CS 7431
CS 7280
CS 8803 Network Science
CS 7470
CS 4605
CS 7632
CS 4731, LCC 4731, and LMC 4731
CS 7637
CS 4635
CS 7638
(formerly CS 8803-O01)
N/A
CS 7639
(formerly CS 8803-O09)
N/A
CS 7641
CS 4640, CS 4641, CSE 6740, CSE 7641, and ISYE 6740
CS 7642
(formerly CS 8803-O03)
N/A
Click here to return to Table of Contents
21


CS 7643
CS 4644, CS 4803 Deep Learning, and CS 8803 Deep Learning
CS 7646
CS 4646 and CS 4803 Machine Learning for Trading
CS 7650
CS 4650
CS 8803-O08
(Compilers – Theory & Practice)
N/A
CS 8803-O13
(Quantum Computing)
CS 4803 IQC
CS 8803-O15
(Introduction to Computer Law)
CS 4010
CS 8803-O16
(Digital Health Equity)
CS 4803 DHE
CS 8803-O17
(Global Entrepreneurship)
CS 4803 GEI
CSE 8803-O22
(Security Incident Response)
PUBP 8803 Security Incident Response
CSE 6220
CX 4220
CSE 6242
CX 4242
CSE 6250
(formerly CSE 8803-O01)
CX 4803 BDS and CSE 8803 BDS
CSE 6742
CS 4343, INTA 4742, INTA 4803 Modeling, Sim, & Mil Gaming, and INTA 6742
ECE 8843
(Side-Channels & Their Role in
Cybersecurity)
N/A
INTA 6450
N/A
ISYE 6402
N/A
ISYE 6420
N/A
ISYE 6501
N/A
ISYE 6644
N/A
ISYE 6669
N/A
ISYE 8803
(Topics on High-Dimensional
Data Analytics)
N/A
MGT 6311
N/A
PUBP 6725
CS 4725, CS 6725, MGT 4725, MGT 6725, and PUBP 4725",,"You can enroll in and count up to six hours of previously-earned credit toward your OMSCS degree if you've earned another master's degree at Georgia Tech. Double-counting is allowed, but you need to send a message from your GT email account to oms-advising@cc.gatech.edu with your full name and nine-digit gtID number to confirm eligibility. For CS courses, you'll need to research if they're considered ""equivalent"" to OMSCS courses.",0.0,2.15
What is the difference between when two courses are cross-listed and when they are considered to be equivalent?,"
Equivalent courses are courses that are listed as equivalent in Banner. They may not necessarily be taught
together (such as the Atlanta campus courses CS 4460 and CS 6730). Cross-listed courses are courses that are
Click here to return to Table of Contents
22


taught together and are usually equivalents as well (such as CS 4641 and CS 7641).",,"Two courses are cross-listed when they share the same content and curriculum but have different course prefixes. This means students may encounter different course prefixes in Canvas compared to Banner. On the other hand, equivalent courses are listed as such in Banner, regardless of whether they're taught together or not.",0.0,1.43
Are there any courses that students cannot count toward their MSCS degree?,"MSCS students are not permitted to count credit for 1) CSE 6010 Computational Problem Solving for Scientists
and Engineers; 2) CSE 6040 Computing for Data Analysis: Methods and Tools; 3) CS 4001 Computing, Society
and Professionalism; or 4) CS 4002 Robots and Society toward their MSCS degree.
Additionally, the CS 8001 one-hour seminars will NOT count toward your graduation requirements.
If you have concerns about other courses, please be sure to contact your OMSCS advisor from your GT email
account at oms-advising@cc.gatech.edu. Please include your full name and your nine-digit gtID number
(90XXXXXXX), replacing the first two digits with “xx”.
Grades/GPA Requirement",,"Courses in which a student earns less than a ""C"" cannot be counted toward the MSCS degree.",0.0,0.82
"Is it possible to repeat a course, and what are the consequences of doing so?","According to the academic catalog, “Students may not repeat courses on a letter-grade basis in which the grade
of ‘B’ or higher has been earned previously.”
In other cases of a repeated course, we will consider the newest grade for purposes of completing a requirement
(specialization and/or foundational course); however, you can never have the initial grade replaced or removed
from your GPA, unless you are eligible to pursue the grade substitution policy as noted below.
Please also note that if you retake a course, it can be used to satisfy only one requirement, as one course cannot
be used to satisfy more than one requirement.
If you withdraw from a course, “W”s are visible on your transcript, but they have no impact on your GPA. If you
retake a course from which you previously have withdrawn, the “W” from your first attempt and the new grade
from that class both will appear on your transcript.",,"It is possible to repeat a course if you didn't earn a grade of 'B' or higher initially, but repeating a course where you earned a grade of 'B' or higher is not allowed. If you're taking the course as a ""free"" elective and earned below a 'C', you can retake it to earn a better grade.",0.0,1.63
What are the grade/GPA requirements to remain active in the program?,"Please visit http://www.catalog.gatech.edu/rules/6/ and https://registrar.gatech.edu/info/academic-standing and
review this information carefully. Please note that your academic standing is based on your cumulative GPA
and/or your term GPA. For MS students, the minimum GPA to remain in good academic standing is 27. However, please note that you must earn a cumulative GPA of 3.0 or higher in order to meet the graduation requirements. For information on how to calculate your GPA, please refer to the Registrar’s website.",,"To remain active in the program, students must earn a cumulative GPA of 3.0 or higher and complete two foundational coursework requirements with a grade of ""B"" or better within the first 12 months from their date of matriculation. Additionally, MS students must maintain a minimum GPA of 2.7 to stay in good academic standing.",0.0,2.26
Does the grade substitution policy apply to graduate students?,"A grade substitution policy has been approved for graduate students. Please visit
https://catalog.gatech.edu/rules/5/ and https://registrar.gatech.edu/info/applying-for-graduate-grade-substitution
for information regarding eligibility.",,"Yes, the grade substitution policy applies to graduate students. A grade substitution policy has been approved for graduate students and can be found at https://catalog.gatech.edu/rules/5/ and https://registrar.gatech.edu/info/applying-for-graduate-grade-substitution.",0.0,1.37
How do OMSCS students apply for a graduate grade substitution?,"The grade substitution form is available on the Registrar’s Office’s website and must be completed via DocuSign
by the established deadline. Please be sure to use your advisor’s direct email address (NOT
oms-advising@cc.gatech.edu) when submitting this form.",,"According to the provided context, OMSCS students do not need to opt into the graduate grade substitution policy and are eligible for graduation if they meet all MSCS degree requirements without substitutions. To apply for a graduate grade substitution, please visit https://catalog.gatech.edu/rules/5/ and https://registrar.gatech.edu/info/applying-for-graduate-grade-substitution.",0.0,1.8
When does the graduate grade substitution policy take effect?,The new policy takes effect starting with the Summer 2022 semester under the 2022-2023 academic catalog.,,"The graduate grade substitution policy takes effect starting with the Summer 2022 semester under the 2022-2023 academic catalog, and it is not retroactive.",0.0,0.99
Is the graduate grade substitution policy retroactive?,"No, the policy is not retroactive. The “C”, “D”, or “F” grade to be substituted must have been earned in a course
taken during or after the Summer 2022 semester. The new policy does NOT apply to courses taken prior to
Summer 2022 Click here to return to Table of Contents 23",,"No, academic standing is not impacted or recalculated retroactively once the graduate grade substitution has been applied to a student's record. The new policy takes effect starting with the Summer 2022 semester under the 2022-2023 academic catalog, and it does not apply to courses taken prior to that semester.",0.0,1.57
Is academic standing impacted/recalculated retroactively once the graduate grade substitution has been applied to a student’s record?,"
Yes, a student’s academic standing would update once the grade substitution had been applied. For example, if a
student’s first attempt was during the Summer 2022 semester, and an unsatisfactory grade was earned, and then
the course was repeated successfully in Fall 2022, then the academic standing for Summer 2022 would be
updated (since the original grade would be excluded from the cumulative GPA) and would be built upon once the
grade substitution had been applied.",,"No, academic standing is not impacted or recalculated retroactively once the graduate grade substitution has been applied to a student's record. The policy only applies to courses taken during or after the Summer 2022 semester and does not apply to previous semesters. Once the grade substitution has been applied, it will update the student's academic standing accordingly.",0.0,1.62
Will the grade substitution be visible on a transcript?,"Yes, the student’s transcript would show the original grade with a comment of “Excluded grade substitution”.",,"Yes, the student's transcript would show the original grade with a comment of ""Excluded grade substitution"".",0.0,0.92
Is there a minimum grade that a student must earn to be approved for a grade substitution?,"Students do not have to earn a minimum grade to request a grade substitution. For example, a student could
earn a “D”, repeat the course and earn a “C”, and apply for a grade substitution.",,"There is no minimum grade that a student must earn to be approved for a grade substitution. A student can request a grade substitution regardless of their original grade, such as earning a ""D"" and then repeating the course and earning a ""C"". The grade substitution policy does not consider a student's grade when determining eligibility.",0.0,1.53
"If students with undergraduate degrees from Georgia Tech have previously been approved for undergraduate grade substitutions, would they be permitted to apply for one at the graduate level?","
Yes, the grade substitution policy “resets” at the graduate level.",,"Yes, students with undergraduate degrees from Georgia Tech who have previously been approved for undergraduate grade substitutions would be permitted to apply for one at the graduate level. The grade substitution policy ""resets"" at the graduate level.",0.0,1.16
Does the graduate grade substitution policy impact BSMS students in any specific way?,"No, both the undergraduate and graduate grade substitution policies can be applied to BSMS students. When
they are BS students, they will follow the undergraduate grade substitution policy. When they matriculate into the
graduate level, they will then follow the graduate grade substitution policy.",,"No, the graduate grade substitution policy does not impact BSMS students in any specific way. Both undergraduate and graduate grade substitution policies can be applied to BSMS students, with no differences between the two levels. The same rules apply throughout their academic journey.",0.0,1.53
"If undergraduate Georgia Tech students enroll in graduate-level GT courses, which grade substitution policy would be in effect (undergraduate or graduate)?","
The grade substitution policies are based on a student’s level (undergraduate or graduate), not the course level.
For example, if undergraduate students complete graduate-level courses, they will follow the undergraduate grade
substitution policy.",,The undergraduate grade substitution policy would be in effect.,0.0,0.59
Are exceptions to the graduate grade substitution policy possible?,"The grade substitution policy (including, but not limited to, course eligibility, number of courses, time limits, and
deadlines) is not subject to exceptions.",,Exceptions to the graduate grade substitution policy are not possible.,0.0,0.64
Can the graduate grade substitution policy be petitioned to the Graduate Institute Curriculum Committee?,The graduate grade substitution policy may NOT be petitioned to the Graduate Institute Curriculum Committee.,,"No, the graduate grade substitution policy cannot be petitioned to the Graduate Institute Curriculum Committee.",0.0,0.69
Are OMSCS students required to opt into the graduate grade substitution policy in order to graduate?,"No, OMSCS students are NOT required to opt into the graduate grade substitution policy if they do not wish
to do so. OMSCS students are eligible for graduation if they are meeting all MSCS degree requirements,
even without opting into the graduate grade substitution policy.",,"No, OMSCS students are NOT required to opt into the graduate grade substitution policy in order to graduate.",0.0,0.84
"If I earn a “D” in a course, can it count toward my OMSCS degree?","Courses in which a student earns less than a “C” cannot be counted toward the OMSCS degree. Please note that
these grades still will be factored into your overall cumulative GPA and cannot be removed from your record,
unless you opt into the graduate grade substitution policy.",,"Courses in which a student earns less than a ""C"" cannot be counted toward the OMSCS degree.",0.0,0.82
"If I do not earn the required grade in a course, or if I withdraw from a course, am I required to repeat the course in a later semester?","If the course is required for your specialization, and there are no other course options within that specific area of
your specialization that you can take instead (since substitutions are not permitted), then you must retake the
course and earn the required ""B"" or better for specialization/foundational courses. However, if there are other
course options available within that specific area for your specialization, then you may choose to enroll in a
Click here to return to Table of Contents
24


different course to satisfy the requirement.
If the course would count as a “free” elective, you have the option of retaking it to earn the required “C” or better
for “free” electives, or you may choose to enroll in a different course to satisfy your “free” elective requirement.",,"You do not need to repeat the course in a later semester if you withdraw from it. However, you can take and later withdraw from and/or repeat a specific course without any limit. The satisfactory academic progress requirements, six-year requirement, and graduate grade substitution policy should be considered when making decisions about course repetition.",0.0,1.43
Is there a limit to how many times I can withdraw from and/or repeat a course?,"There is no specific limit to how many times a student may take and later withdraw from and/or repeat a specific
course. However, please keep in mind the degree requirements outlined in this document and the academic
catalog, including the satisfactory academic progress requirements, the six-year requirement, and the graduate
grade substitution policy.",,"There is no specific limit to how many times you can take and later withdraw from and/or repeat a course. However, consider degree requirements outlined in this document and the academic catalog, including satisfactory academic progress requirements and graduate grade substitution policy. You may repeat a course as needed, but note that some courses have restrictions on repeating with a letter-grade if you've earned a 'B' or higher previously.",0.0,1.74
How is my academic standing impacted if I withdraw from or do not enroll in a semester?,"It is our understanding that if you withdraw from or do not enroll in a semester, and you do not have any new
grades that would change your status, then your academic standing from the previous semester would carry over.
Therefore, if you were on academic warning or academic probation after your last enrolled term, then this status
would carry over to the next term as long as you did not have any new grades to change your academic standing.
There is an exception to this, as it relates to making satisfactory academic progress in the program. As noted
above, if you are withdrawing semester after semester without successfully completing a course, your academic
standing in the program could be impacted.",,"If you withdraw from or do not enroll in a semester, your academic standing from the previous semester would carry over. However, if you are withdrawing semester after semester without successfully completing a course, your academic standing in the program could be impacted. Your status on academic warning or probation would also remain unchanged unless new grades change it.",0.0,1.54
"If I am on academic warning or academic probation, am I allowed to withdraw from a course/semester?","As long as you do not have a hold on your account, you should be able to withdraw from a course/semester, even
if you are on academic warning or academic probation. As stated previously, if you were to withdraw from the
semester, and you did not have any new grades that would change your status, then your academic standing from
the previous semester would carry over. Therefore, if you were on academic warning or academic probation after
your last enrolled term, and you did not have any new grades that would change your status, then your academic
standing would carry over to the next term.
There is an exception to this, as it relates to making satisfactory academic progress in the program. As noted
above, if you are withdrawing semester after semester without successfully completing a course, your academic
standing in the program could be impacted.",,"You should be able to withdraw from a course/semester even if you are on academic warning or academic probation, as long as there's no hold on your account. If you don't have any new grades that would change your status, your previous academic standing will carry over. Your academic standing from the previous semester will continue to the next term unless you earn new grades that impact it.",0.0,1.84
