category,qns_no,qns,ans
Course/Program Planning,10,How can I check my degree progress and/or plan for future courses?,"To check your degree progress and/or plan for future courses, we encourage you to use DegreeWorks. If you
have declared your specialization, DegreeWorks should tell you what requirements, if any, you are missing. It
also should allow you to plan for future courses using the “what if” feature. If you have not yet declared your
specialization, all of your courses should be listed in the ""Fallthrough Section"", as they will not be allocated until
you declare your specialization. Please note that specializations cannot be declared during active periods of
registration. As a reminder, please be sure to review the degree requirements and the specialization
requirements. Alternatively, you can print a degree worksheet for your specialization and fill it in so that you can
see what requirements, if any, are remaining. You may access the degree worksheets online."
Course/Program Planning,11,"There have been some curriculum changes (new course numbers, recently-approved specialization courses, etc.), and my DegreeWorks is not listing these courses in the correct areas of my degree audit.
When will this be adjusted?","If changes are made to the curriculum or a new course number is assigned after you have matriculated,
DegreeWorks will not make the necessary adjustments automatically – the OMSCS advisors have to make
exceptions in DegreeWorks manually. This typically is not done until students have petitioned to graduate, though
you are welcome to contact our office at oms-advising@cc.gatech.edu, and we would be happy to make the
change ahead of time, as long as you already successfully completed the course(s). Please note that we will not
be able to make changes to courses that are still in progress, as we need to ensure that the minimum grade is
earned before making the change in DegreeWorks."
Course/Program Planning,12,Why are my non-CS/CSE courses not being applied to my degree requirements in DegreeWorks?,"Since these courses are outside of the CS/CSE curriculum, your OMSCS advisor will need to manually apply any
non-CS/CSE coursework to your record in DegreeWorks. This typically is not done until students have petitioned
to graduate, though you are welcome to contact our office at oms-advising@cc.gatech.edu, and we would be
happy to make the change ahead of time, as long as you already successfully completed the course(s). Please
note that we will not be able to make changes to courses that are still in progress, as we need to ensure that the
minimum grade is earned before making the change in DegreeWorks."
Course/Program Planning,13,When will the course schedules for each term be available?,"The course schedules for each term are released shortly before the Phase I registration period for each term.
Please refer to the academic calendar for term-specific dates."
Course/Program Planning,14,I completed my bachelor’s degree in Computer Science at Georgia Tech. Can I double-count any of my courses toward my OMSCS degree?,"
Students completing both a bachelor’s and master’s in the same discipline (Computer Science) at Georgia Tech
might be able to use up to six credit hours of graduate-level coursework in the major discipline for both degrees.
Click here to return to Table of Contents
19


To qualify for this option, students must complete the undergraduate degree with a cumulative GPA of 3.5 or
higher and complete the master’s degree within a two-year period from the award date of the bachelor’s degree.
Please visit this website for more information. If you feel you qualify for this option, please send a message from
your GT email account to oms-advising@cc.gatech.edu and include your full name and nine-digit gtID number.
Your advisor will be able to assist you and confirm your eligibility."
Course/Program Planning,15,I earned another master’s degree at Georgia Tech prior to matriculating in the OMSCS program. Can I double-count any of my courses toward my OMSCS degree?,"
Students who have earned another master’s degree at Georgia Tech might be eligible to double-count up to six
hours of previously-earned credit toward their OMSCS degree. Please visit this website for more information
regarding this policy. If you feel you qualify for this, please send a message from your GT email account to
oms-advising@cc.gatech.edu and include your full name and nine-digit gtID number. Your advisor will be able to
assist you and confirm your eligibility."
Course/Program Planning,16,I took courses and/or earned another degree (undergraduate and/or graduate) from Georgia Tech – are there restrictions as to which OMSCS courses I can enroll in and count toward my OMSCS degree?,"
If you previously completed courses at Georgia Tech, specifically undergraduate and/or graduate Computer
Science (CS) or other CS-related undergraduate and/or graduate courses, you will be responsible for researching
whether the course(s) are considered to be “equivalent” to OMSCS courses, as these credits typically cannot
count toward your OMSCS degree if they were used toward another earned degree. Please refer to this website
for more information. Additionally, we have provided you with some of the equivalencies (please see the table
below), but we strongly recommend that you contact OMSCS Advising, as things can change and/or be updated
at any time.
OMSCS Course
Georgia Tech Equivalent Course
CS 6035
CS 4235*
*If you took CS 4235 prior to Spring 2011, you will be allowed to earn credit for both courses.
If you took CS 4235 after Spring 2011, you will not be able to enroll in CS6035 CS 6150 N/A
CS 6200
(formerly CS 8803-O02)
N/A
CS 6210
CS 6420 and CS 4210
CS 6211
(formerly CS 8803-O0A & O0B)
N/A
CS 6238
N/A
CS 6250
CS 4251 (if taken Fall 2018 or later) and CS 6380
CS 6260
ECE 6280
CS 6262
N/A
CS 6263
(formerly CS 8803-O07)
ECE 8813 Cyber-Physical Systems Security
CS 6264
(formerly CS 8803-O11)
N/A
CS 6265
N/A
CS 6290
ECE 4100, ECE 6100, and CS 4290
Click here to return to Table of Contents
20


CS 6291
(formerly CS 8803-O04)
N/A
CS 6300
CS 6144 and CS 8803 Advanced Software Engineering
CS 6310
N/A
CS 6340
N/A
CS 6400
CS 6450
CS 6440
N/A
CS 6457
CS 4455
CS 6460
CS 6397 and CS 4660
CS 6475
CS 4475
CS 6476
CS 4476 and CS 4495
CS 6505
(replaced by CS 6515)
CS 6500 and CS 4540
CS 6515
(formerly CS 8803 GA)
CS 4540, CSE 6140, and CS 6505
CS 6601
N/A
CS 6603
(formerly CS 8803-O10)
CS 4803 Big Data and Society – Misuse, Abuse, and Algorithms & CS 8803
AIS
CS 6675
CS 4675
CS 6747
ECE 4147 and ECE 6747
CS 6750
PSYC 6750
CS 6795
ISYE 6795 and PSYC 6795
CS 7210
CS 7431
CS 7280
CS 8803 Network Science
CS 7470
CS 4605
CS 7632
CS 4731, LCC 4731, and LMC 4731
CS 7637
CS 4635
CS 7638
(formerly CS 8803-O01)
N/A
CS 7639
(formerly CS 8803-O09)
N/A
CS 7641
CS 4640, CS 4641, CSE 6740, CSE 7641, and ISYE 6740
CS 7642
(formerly CS 8803-O03)
N/A
Click here to return to Table of Contents
21


CS 7643
CS 4644, CS 4803 Deep Learning, and CS 8803 Deep Learning
CS 7646
CS 4646 and CS 4803 Machine Learning for Trading
CS 7650
CS 4650
CS 8803-O08
(Compilers – Theory & Practice)
N/A
CS 8803-O13
(Quantum Computing)
CS 4803 IQC
CS 8803-O15
(Introduction to Computer Law)
CS 4010
CS 8803-O16
(Digital Health Equity)
CS 4803 DHE
CS 8803-O17
(Global Entrepreneurship)
CS 4803 GEI
CSE 8803-O22
(Security Incident Response)
PUBP 8803 Security Incident Response
CSE 6220
CX 4220
CSE 6242
CX 4242
CSE 6250
(formerly CSE 8803-O01)
CX 4803 BDS and CSE 8803 BDS
CSE 6742
CS 4343, INTA 4742, INTA 4803 Modeling, Sim, & Mil Gaming, and INTA 6742
ECE 8843
(Side-Channels & Their Role in
Cybersecurity)
N/A
INTA 6450
N/A
ISYE 6402
N/A
ISYE 6420
N/A
ISYE 6501
N/A
ISYE 6644
N/A
ISYE 6669
N/A
ISYE 8803
(Topics on High-Dimensional
Data Analytics)
N/A
MGT 6311
N/A
PUBP 6725
CS 4725, CS 6725, MGT 4725, MGT 6725, and PUBP 4725"
Course/Program Planning,17,What is the difference between when two courses are cross-listed and when they are considered to be equivalent?,"
Equivalent courses are courses that are listed as equivalent in Banner. They may not necessarily be taught
together (such as the Atlanta campus courses CS 4460 and CS 6730). Cross-listed courses are courses that are
Click here to return to Table of Contents
22


taught together and are usually equivalents as well (such as CS 4641 and CS 7641)."
Course/Program Planning,18,Are there any courses that students cannot count toward their MSCS degree?,"MSCS students are not permitted to count credit for 1) CSE 6010 Computational Problem Solving for Scientists
and Engineers; 2) CSE 6040 Computing for Data Analysis: Methods and Tools; 3) CS 4001 Computing, Society
and Professionalism; or 4) CS 4002 Robots and Society toward their MSCS degree.
Additionally, the CS 8001 one-hour seminars will NOT count toward your graduation requirements.
If you have concerns about other courses, please be sure to contact your OMSCS advisor from your GT email
account at oms-advising@cc.gatech.edu. Please include your full name and your nine-digit gtID number
(90XXXXXXX), replacing the first two digits with “xx”.
Grades/GPA Requirement"
Grades/GPA Requirement,1,"Is it possible to repeat a course, and what are the consequences of doing so?","According to the academic catalog, “Students may not repeat courses on a letter-grade basis in which the grade
of ‘B’ or higher has been earned previously.”
In other cases of a repeated course, we will consider the newest grade for purposes of completing a requirement
(specialization and/or foundational course); however, you can never have the initial grade replaced or removed
from your GPA, unless you are eligible to pursue the grade substitution policy as noted below.
Please also note that if you retake a course, it can be used to satisfy only one requirement, as one course cannot
be used to satisfy more than one requirement.
If you withdraw from a course, “W”s are visible on your transcript, but they have no impact on your GPA. If you
retake a course from which you previously have withdrawn, the “W” from your first attempt and the new grade
from that class both will appear on your transcript."
Grades/GPA Requirement,2,What are the grade/GPA requirements to remain active in the program?,"Please visit http://www.catalog.gatech.edu/rules/6/ and https://registrar.gatech.edu/info/academic-standing and
review this information carefully. Please note that your academic standing is based on your cumulative GPA
and/or your term GPA. For MS students, the minimum GPA to remain in good academic standing is 27. However, please note that you must earn a cumulative GPA of 3.0 or higher in order to meet the graduation requirements. For information on how to calculate your GPA, please refer to the Registrar’s website."
Grades/GPA Requirement,3,Does the grade substitution policy apply to graduate students?,"A grade substitution policy has been approved for graduate students. Please visit
https://catalog.gatech.edu/rules/5/ and https://registrar.gatech.edu/info/applying-for-graduate-grade-substitution
for information regarding eligibility."
Grades/GPA Requirement,4,How do OMSCS students apply for a graduate grade substitution?,"The grade substitution form is available on the Registrar’s Office’s website and must be completed via DocuSign
by the established deadline. Please be sure to use your advisor’s direct email address (NOT
oms-advising@cc.gatech.edu) when submitting this form."
Grades/GPA Requirement,5,When does the graduate grade substitution policy take effect?,The new policy takes effect starting with the Summer 2022 semester under the 2022-2023 academic catalog.
Grades/GPA Requirement,6,Is the graduate grade substitution policy retroactive?,"No, the policy is not retroactive. The “C”, “D”, or “F” grade to be substituted must have been earned in a course
taken during or after the Summer 2022 semester. The new policy does NOT apply to courses taken prior to
Summer 2022 Click here to return to Table of Contents 23"
Grades/GPA Requirement,7,Is academic standing impacted/recalculated retroactively once the graduate grade substitution has been applied to a student’s record?,"
Yes, a student’s academic standing would update once the grade substitution had been applied. For example, if a
student’s first attempt was during the Summer 2022 semester, and an unsatisfactory grade was earned, and then
the course was repeated successfully in Fall 2022, then the academic standing for Summer 2022 would be
updated (since the original grade would be excluded from the cumulative GPA) and would be built upon once the
grade substitution had been applied."
Grades/GPA Requirement,8,Will the grade substitution be visible on a transcript?,"Yes, the student’s transcript would show the original grade with a comment of “Excluded grade substitution”."
Grades/GPA Requirement,9,Is there a minimum grade that a student must earn to be approved for a grade substitution?,"Students do not have to earn a minimum grade to request a grade substitution. For example, a student could
earn a “D”, repeat the course and earn a “C”, and apply for a grade substitution."
Grades/GPA Requirement,10,"If students with undergraduate degrees from Georgia Tech have previously been approved for undergraduate grade substitutions, would they be permitted to apply for one at the graduate level?","
Yes, the grade substitution policy “resets” at the graduate level."
Grades/GPA Requirement,11,Does the graduate grade substitution policy impact BSMS students in any specific way?,"No, both the undergraduate and graduate grade substitution policies can be applied to BSMS students. When
they are BS students, they will follow the undergraduate grade substitution policy. When they matriculate into the
graduate level, they will then follow the graduate grade substitution policy."
Grades/GPA Requirement,12,"If undergraduate Georgia Tech students enroll in graduate-level GT courses, which grade substitution policy would be in effect (undergraduate or graduate)?","
The grade substitution policies are based on a student’s level (undergraduate or graduate), not the course level.
For example, if undergraduate students complete graduate-level courses, they will follow the undergraduate grade
substitution policy."
Grades/GPA Requirement,13,Are exceptions to the graduate grade substitution policy possible?,"The grade substitution policy (including, but not limited to, course eligibility, number of courses, time limits, and
deadlines) is not subject to exceptions."
Grades/GPA Requirement,14,Can the graduate grade substitution policy be petitioned to the Graduate Institute Curriculum Committee?,The graduate grade substitution policy may NOT be petitioned to the Graduate Institute Curriculum Committee.
Grades/GPA Requirement,15,Are OMSCS students required to opt into the graduate grade substitution policy in order to graduate?,"No, OMSCS students are NOT required to opt into the graduate grade substitution policy if they do not wish
to do so. OMSCS students are eligible for graduation if they are meeting all MSCS degree requirements,
even without opting into the graduate grade substitution policy."
Grades/GPA Requirement,16,"If I earn a “D” in a course, can it count toward my OMSCS degree?","Courses in which a student earns less than a “C” cannot be counted toward the OMSCS degree. Please note that
these grades still will be factored into your overall cumulative GPA and cannot be removed from your record,
unless you opt into the graduate grade substitution policy."
Grades/GPA Requirement,17,"If I do not earn the required grade in a course, or if I withdraw from a course, am I required to repeat the course in a later semester?","If the course is required for your specialization, and there are no other course options within that specific area of
your specialization that you can take instead (since substitutions are not permitted), then you must retake the
course and earn the required ""B"" or better for specialization/foundational courses. However, if there are other
course options available within that specific area for your specialization, then you may choose to enroll in a
Click here to return to Table of Contents
24


different course to satisfy the requirement.
If the course would count as a “free” elective, you have the option of retaking it to earn the required “C” or better
for “free” electives, or you may choose to enroll in a different course to satisfy your “free” elective requirement."
Grades/GPA Requirement,18,Is there a limit to how many times I can withdraw from and/or repeat a course?,"There is no specific limit to how many times a student may take and later withdraw from and/or repeat a specific
course. However, please keep in mind the degree requirements outlined in this document and the academic
catalog, including the satisfactory academic progress requirements, the six-year requirement, and the graduate
grade substitution policy."
Grades/GPA Requirement,19,How is my academic standing impacted if I withdraw from or do not enroll in a semester?,"It is our understanding that if you withdraw from or do not enroll in a semester, and you do not have any new
grades that would change your status, then your academic standing from the previous semester would carry over.
Therefore, if you were on academic warning or academic probation after your last enrolled term, then this status
would carry over to the next term as long as you did not have any new grades to change your academic standing.
There is an exception to this, as it relates to making satisfactory academic progress in the program. As noted
above, if you are withdrawing semester after semester without successfully completing a course, your academic
standing in the program could be impacted."
Grades/GPA Requirement,20,"If I am on academic warning or academic probation, am I allowed to withdraw from a course/semester?","As long as you do not have a hold on your account, you should be able to withdraw from a course/semester, even
if you are on academic warning or academic probation. As stated previously, if you were to withdraw from the
semester, and you did not have any new grades that would change your status, then your academic standing from
the previous semester would carry over. Therefore, if you were on academic warning or academic probation after
your last enrolled term, and you did not have any new grades that would change your status, then your academic
standing would carry over to the next term.
There is an exception to this, as it relates to making satisfactory academic progress in the program. As noted
above, if you are withdrawing semester after semester without successfully completing a course, your academic
standing in the program could be impacted."
Grades/GPA Requirement,21,By when do I need to resolve an “I” grade?,"Detailed information regarding an “I” grade can be found in the following sections of the academic catalog:
●
Section C, Point 7
●
Section A
●
Section B, Point 1
To confirm: ""When a grade of ‘I’ (‘Incomplete') is assigned in a course, the ‘I' grade must be removed and the
grade change reported by the end of the student's next academic term in residence or, if the student has not been
enrolled, by the end of the academic term one calendar year from the date the incomplete was assigned. Failing
to remove the ‘I' in the allotted time will result in the grade of ‘I' being changed to the grade of ‘F'. To remove the
‘I' grade, the student should consult with the instructor as soon as possible after the academic term is over and
complete whatever remaining coursework is outlined by the instructor. Repeating the course for credit does not
remove the grade of ‘I’."""
Grades/GPA Requirement,22,Is it possible to “start over” or “erase” my previous academic history?,"Unfortunately, this is not possible. Your previous academic history always will be a part of your student
record, even if you take time off and seek readmission into the program at a later time.
Click here to return to Table of Contents
25"
Grades/GPA Requirement,23,"If I take extra OMSCS courses, can I designate which courses will count toward my “degree” GPA rather than my cumulative GPA?","
The OMSCS program does not have a separate “degree GPA” and simply uses your cumulative GPA. The only
exception to this is for students who continue taking courses after they have graduated from the OMSCS
program. For the purposes of your resume, whatever your GPA was when your degree was awarded would be
your MS GPA.
Registration-Related Information"
Registration-Related Information,1,What is the difference between Phase I and Phase II registration?,"Current/returning students will register during Phase I and will have another opportunity to make changes to their
schedules during Phase II. Newly-admitted students will register during Phase II only. For the summer term,
there is only one registration phase, with an “unofficial” Phase II period taking place shortly before the start of the
semester. Visit the academic calendar for term-specific dates."
Registration-Related Information,2,Are the published times/deadlines updated based on my local time zone if I do not live in Atlanta?,"No — all of the Institute times/deadlines you see are listed in the Eastern time zone. They will not update
automatically to reflect your local time zone. Therefore, you will need to be mindful of time-sensitive
activities/deadlines such as when time tickets open, the expiration of a wait list notification, the end of a
registration period, the semester’s withdrawal deadline, etc. For any class-specific deadline, please be sure to
work with your instructor and/or TA(s)."
Registration-Related Information,3,What is the maximum number of courses I can register for each term?,"The OMSCS program is a part-time program only – no exceptions will be made to allow for full-time enrollment.
Students can register for a maximum of seven hours during the fall and spring semesters, and students are
limited to enrolling in five hours during the summer semester. Please note that Financial Aid and other programs
may have specific credit hour requirements, so be sure to follow up with their office(s) directly for more
information."
Registration-Related Information,4,What if a course I want to register for is CLOSED?,"Once the registration cap has been reached for a course, the course is full. In order to request a seat in a closed
course, you must follow the instructions in SECTION G. WAITLISTING FOR A CLOSED COURSE. The OMSCS
program does not accept override requests. Please note that OMSCS Advising cannot register students for
classes, nor can we add students to wait lists."
Registration-Related Information,5,What if the wait list for a course I want to register for is CLOSED?,"If the wait list is full/closed when you are attempting to add yourself, please check back later. Students remove
themselves from wait lists, and seats are added to courses (which removes students from the wait list), so there is
a strong chance that a spot will become available at a later time."
Registration-Related Information,6,Why is there a limit on the number of seats for each course if this is an online program?,"While we do not have physical space constraints, there are other factors that have to be taken into consideration
for an online program this size. One example is that in order to maintain the integrity and academic rigor of the
program, we have to hire an adequate number of TAs per a specific number of enrolled students. This is why we
limit the number of waitlisted courses for each student so that we have a realistic idea of the demand for each
course and can hire TAs accordingly (whenever possible). Additionally, some courses are unable to scale above
a certain maximum while still providing an effective learning experience for students."
Registration-Related Information,7,Can OMSCS Advising tell me which courses are open currently?,"Students can access up-to-date enrollment and wait list totals by performing a class search in OSCAR. You can
perform a course look-up in OSCAR once you have logged in using your GT credentials — the full courses have a
“C” in the first column, and the open courses have a checkbox that can be selected in order to enroll."
Registration-Related Information,8,What are the chances of enrolling in a class if I am waitlisted or if the class is closed?,"We strive to give students an opportunity to register for a variety of courses. The number of available seats is
determined primarily by the number of TAs available for each course. Unfortunately, advisors cannot predict
if/when a course may have more seats added or if a wait list will be expanded. Also, we cannot guarantee
students will be able to enroll in specific courses. Our best advice is to continue monitoring the courses you are
interested in taking and/or the wait lists. Towards the end of Phase II, the wait lists will be removed, and you may
Click here to return to Table of Contents
26


have another opportunity to register for your desired course(s). More information regarding this will be
forthcoming. Alternatively, you may review the degree requirements and try to find another course."
Registration-Related Information,9,Why am I receiving an error message if I can see available seats when attempting to register?,"If there are seats available in the course, but the course has a wait list, you will receive an error message when
attempting to register. This is because the seats that are available are reserved for the students on the wait list.
Therefore, students cannot bypass the wait list and enroll in a course – they must add themselves to the wait list,
if there are spaces available."
Registration-Related Information,10,How long should I expect to wait before I receive a wait list notification?,"There is no specific amount of time as to when students will receive a wait list notification, as we unfortunately
cannot guarantee that everyone on every wait list will get into the course. As stated previously, some courses are
unable to scale above a certain maximum while still providing an effective learning experience for students.
Please note that the advisors are unable to determine/predict which courses will have more seats added.
Therefore, please be sure to monitor your email account carefully and frequently, including your spam folder, in
case you receive a wait list notification."
Registration-Related Information,11,Can I use a computer program or script when trying to register for courses?,"As explained on the Registrar’s website, “Students are required to abide by the Institute's Acceptable Use Policy
when using Georgia Tech's computer resources, including the registration system. As such, no student may use
any unauthorized computer program or script to register for classes or attempt to circumvent the registration
system in any way. No student should repeatedly attempt to register for a closed section of a course by hand in
an attempt to ""brute force"" into the next available seat. To do so is a violation, as ‘faculty, staff, and students are
expected to behave in an ethical and professional manner when using IT resources.’ This also violates the
section ‘Protection of IT Resources’ by ‘knowingly installing or running...disruptive software’ which results in
depriving other students an opportunity to register. Information regarding any student who violates this policy will
be forwarded to the Dean of Students for disciplinary action.”"
Registration-Related Information,12,Why is my wait list position increasing instead of decreasing?,"Each semester, we prioritize the degree candidates on wait lists if they need a specific specialization course (not
“free” elective) to graduate by the end of the term. Therefore, your wait list position could change due to degree
candidates receiving priority. We hope that students will understand this, as we will do the same for you once you
are in your final term and are preparing to graduate."
Registration-Related Information,13,Why is my waitlisted course showing as “0” credits in OSCAR?,"Since a waitlisted course does not count as enrolled hours, your waitlisted course will display as “0” units until you
are registered officially (though please remember that being on a wait list does not guarantee that you will be
permitted to enroll in that course for the term)."
Registration-Related Information,14,"If I am registered for the maximum number of hours permitted, and I receive a wait list notification, will I be able to drop one of my other courses in order to add the waitlisted course, or will the system skip me
and notify the next person on the wait list?","The system will not skip you because you are enrolled in the maximum number of hours permitted. You will have
the same 12-hour window to respond to the wait list notification and make any necessary changes to your
schedule in order to enroll in the waitlisted course if desired."
Registration-Related Information,15,I missed my wait list notification. What should I do now?,"Unfortunately, the only thing you can do is add yourself back to the wait list and hope for the best or select
another course. The OMSCS program must abide by the Institute’s policies and procedures, and this includes the
fact that wait list notifications can be sent at any time (even overnight and/or on weekends) and that students
have 12 hours to respond to the notification. The wait list process is not controlled by OMSCS Advising, so we
are unable to make any changes or exceptions regarding this process."
Registration-Related Information,16,I received a “Campus Restriction” or “Major Restriction” error message when trying to add a course. What does this mean?,"
If you receive the “Campus Restriction” or “Major Restriction” error message, this is because you are attempting
to enroll in a course that is not part of the OMSCS program. As a reminder, most OMSCS courses will have a
section of “O” followed by a two-digit number (example: O01, O02, O03, etc.).
Please note that courses with the “OAN” section are for OMS Analytics students only, and courses with
Click here to return to Table of Contents
27


the “OCY” section are for OMS Cybersecurity students only – OMSCS students are NOT permitted to
enroll in these sections.
If a section of an OMS Analytics or OMS Cybersecurity course has been created for OMSCS students, it will have
a section of “O” followed by a two-digit number (as mentioned previously). Therefore, please be sure you are
selecting the correct section if you wish to enroll in the course.
***Please remember that per the program rules:
""A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE.”***"
Registration-Related Information,17,What is the difference between “L” and “ALP” in the “BAS” column in OSCAR?,"When searching for courses in OSCAR, the “BAS” column tells you the grade modes accepted for a particular
course. OMSCS courses have the “L” grading basis, which stands for “Letter Grade”, as students may not audit
an OMSCS course or take it on the “Pass/Fail” grading basis.
The one exception are the CS 8001 seminars, as those are graded on the “Pass/Fail” grading basis. As a
reminder, these will NOT count toward your graduation requirements.
You might notice that other courses, such as those offered through the OMS Analytics and OMS Cybersecurity
programs, have the “ALP” grading basis, which stands for “Audit”, “Letter Grade”, and “Pass/Fail”. As a reminder,
courses with the “OAN” section are for OMS Analytics students only, and courses with the “OCY” section are for
OMS Cybersecurity students only – OMSCS students are NOT permitted to enroll in these sections. If a section
of an OMS Analytics or OMS Cybersecurity course has been created for OMSCS students, it will have a section
of “O” followed by a two-digit number as described above. Again, please be sure you are selecting the correct
section if you wish to enroll in the course.
***Please remember that per the program rules:
""A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE.”***"
Registration-Related Information,18,What happens if I am not able to register for my course until the first week of classes?,"Professors have access in Canvas to see when students were added to their course. It is our understanding that
students will not be penalized for assignments that were due before the student was registered for the course.
However, please be sure to confirm this with your professor(s) and/or TAs, and please contact them for any other
specific questions you may have regarding their course and/or assignments."
Registration-Related Information,19,What happens if I am not registered by the time Phase II registration has ended?,"Unfortunately, students cannot be added to a course(s) once Phase II registration has ended. Therefore, if you
plan to be enrolled in that specific term, you may need to enroll in a backup course prior to the end of the active
registration period if your first-choice course is not available."
Registration-Related Information,20,"If I am still on the wait list toward the end of the Phase II registration period, will my wait list position carry over to the next semester’s registration period?","
On the last day of Phase II registration, all of the wait lists are cleared, and students are able to enroll in any open
course without needing to go through the wait list first. Therefore, wait lists will not carry over to the next
semester’s registration period."
Registration-Related Information,21,"If there are seats available once Phase II registration has ended, can I be added to the course?","Students cannot be added to a course(s) once Phase II registration has ended, even if there are seats available."
Registration-Related Information,22,I successfully registered for a course. What should I do next?,"Once you have successfully registered for a course, you should log into Canvas to see if you have access to the
course materials. Please see the next FAQ in case you do not see your course materials once you are registered
for the course.
Click here to return to Table of Contents
28"
Registration-Related Information,23,"Classes have started, and I cannot access my course materials and/or Canvas has not been set up for my course. Is this normal?","course. Is this normal?
As stated previously, course materials will be available sometime during the first week of classes. Unfortunately,
we do not have control over when course materials will be available, nor do we have any additional information as
to exactly when course materials will be available. Please note that some professors do not start their classes
until later in the week, so you may not be able to view any course materials even if the semester technically has
started already.
If you register for a course during the first week that classes begin, please note that it can take up to 24 hours
before you can access your course materials. If after this period of time you still cannot access your course
materials, please contact canvas@gatech.edu for Canvas access."
Registration-Related Information,24,"I successfully registered for a course, but Canvas is showing a different course prefix than what is displayed in OSCAR. How do I know if I registered for the correct section?","displayed in OSCAR. How do I know if I registered for the correct section?
Instructors have the ability to edit the “display title” for a course in Canvas. Therefore, when crosslisted sections
of different courses are being taught together, students may encounter times where the course prefix in Canvas is
different than the one listed in OSCAR. For registration/degree-completion purposes, we will rely on your course
registration according to Banner, not Canvas."
Registration-Related Information,25,Can I be switched to another course once the registration period has ended?,"No – unfortunately, even if there are seats available, you cannot be switched to another course once the
registration period has ended. If you no longer wish to be enrolled in the course, you will need to withdraw before
the semester’s withdrawal deadline."
Registration-Related Information,26,What is the difference between dropping and withdrawing from a course?,"When a student drops a course, this action can only be done during active periods of registration (either in Phase
I and/or Phase II). If a student drops a course, the course will not be reflected on their transcript. It will appear as
if the student never registered for the course, according to their transcript. This means that the student will not
have a record of enrollment for the term.
If a student withdraws from a course (this is done after Phase II registration has ended and before the
semester’s withdrawal deadline), this action will result in a “W” on the student’s transcript. If a student withdraws
from a course (or courses) and receives a “W” on the transcript, this counts as a record of enrollment for that
specific term."
Registration-Related Information,27,"If I withdraw from a course and change my mind, can I be re-added to the course?","No – unfortunately, students cannot be re-added to a course once they have withdrawn. Please keep this in mind
as you are deciding whether or not you wish to withdraw from the course (before the withdrawal deadline)."
Registration-Related Information,28,"If I withdraw from a course/semester, do I need to submit a Petition to the Faculty form to enroll the next semester?","No – as per Georgia Tech’s readmission policy, “With the exception of part-time graduate students, any student
who withdraws during a term and wishes to return the following term must complete a Petition to the Faculty Form
only.” Therefore, since OMSCS students are part-time graduate students, you do not need to submit a ""Petition
to the Faculty” form if you withdraw.
Please keep in mind the Satisfactory Academic Progress policy as noted above when considering withdrawing
from the semester."
Registration-Related Information,29,"If I have an open OSI investigation for a course, or if I was found “responsible” at the conclusion of an OSI investigation for a course, am I permitted to withdraw or submit a Petition to the Faculty for a late
withdrawal?","OSI investigation for a course, am I permitted to withdraw or submit a Petition to the Faculty for a late
withdrawal?
Per the Registrar’s website: “If there is an alleged academic integrity violation pending, the student may not drop
the course. The status of the alleged violation is defined as ‘pending’ when an incident has been submitted to the
Office of Student Integrity and has generated an electronic ‘suspected academic misconduct’ notice that has been
sent to the student. If the student is found responsible for any prohibited academic conduct, she/he will not be
Click here to return to Table of Contents
29


allowed to drop the course.”
Additionally: “If the student is found responsible for any prohibited academic conduct in a class, she/he will also
not be allowed to withdraw from the term.”
Finally, a course is not eligible for grade substitution if the student was found responsible for any academic
misconduct in that course, regardless of how many times it is repeated.
Please contact the Registrar’s Office and the Office of Student Integrity if you have any questions regarding this."
Registration-Related Information,30,Will I retain access to my course materials in Canvas after completing a course?,"This is at the discretion of the course instructor. We recommend that students check with the course’s teaching
team during the semester in which you are enrolled so that you can plan accordingly.
Payments & Financial Information"
Payments & Financial Information,1,How do I apply for Financial Aid?,"Please review the Office of Scholarships and Financial Aid’s website for more information and contact their office
with any questions.
Please note that Financial Aid and other programs may have specific credit hour requirements, so be sure to
follow up with their office(s) directly for more information regarding eligibility."
Payments & Financial Information,2,How do I pay for classes? (Note – You do NOT pay for classes until you register for them.),"Please refer to the Bursar’s website and click on “Student Pay” located at the top right of the webpage. Methods
of payment accepted by the Bursar’s Office are cash, check, money order, wire transfers, webchecks, and credit
cards (online only). Please note: there is a third-party service fee when paying by credit card. OMSCS students
are ineligible for the GT Payment Plan."
Payments & Financial Information,3,What is the amount I need to pay?,"Please refer to the Bursar’s website and view the costs by term by reviewing the information under the “Tuition
and Fees” menu."
Payments & Financial Information,4,What is the deadline to pay my fees?,"Please refer to the Bursar’s website for the Fee Payment Deadline for the specific term. If fees are not paid by
the Fee Payment Deadline, class cancellation may occur, and a late fee may be assessed."
